addr,category,name,symbol,info
0x56ba2Ee7890461f463F7be02aAC3099f6d5811A8,[B1][B2][B3],BlockCAT Token,CAT,_
0x59061b6f26BB4A9cE5828A19d35CFD5A4B80F056,[A2][B2],Legends,LGD,_
0x5E6b6d9aBAd9093fdc861Ea1600eBa1b355Cd940,[B1],IOT on Chain,ITC,_
0x622dFfCc4e83C64ba959530A5a5580687a57581b,[B1][B3],CUBE,AUTO,_
0x6Aac8CB9861E42bf8259F5AbDC6aE3Ae89909E11,[A5],Bitcoin Red,BTCR,_
0x6cCB56947eA1d6eFdc81ACfbAcd8263DDFa9b202,[B1][B2][B3],Royal Kingdom Coin,RKC,_
0x7703C35CfFdC5CDa8D27aa3df2F9ba6964544b6e,[A2][A6][B1],Pylon Token,PYLNT,_
0x78B7FADA55A64dD895D8c8c35779DD8b67fA8a05,[B1][B2][B3],ATLANT Token,ATL,_
0x79650799e7899A802cB96C0Bc33a6a8d4CE4936C,[B1],AIT,AIT,_
0x7C5A0CE9267ED19B22F8cae653F198e3E8daf098,[A2],SANtiment network token,SAN,_
0x80fB784B7eD66730e8b1DBd9820aFD29931aab03,[A9],EthLend Token,LEND,_
0x81b4D08645DA11374a03749AB170836E4e539767,[B2][B3],Paymon Token,PMNT,_
0x82b0E50478eeaFde392D45D1259Ed1071B6fDa81,[B1][B2],DNA Token,DNA,_
0x8542325B72C6D9fC0aD2Ca965A78435413a915A0,[B1],Oyster Shell,SHL,_
0x86949Dc8043A5fD7619A1289d65964aD5ec3D25c,[B1],Gamechain System,GCS,_
0x8727c112C712c4a03371AC87a74dD6aB104Af768,[B1][B2][B3],Jetcoin,JET,_
0x88d50B466BE55222019D71F9E8fAe17f5f45FCA1,[A2][B1],Cryptaur,CPT,_
0x8A99ED8a1b204903Ee46e733f2c1286F6d20b177,[A6][B1],Fujinto,NTO,_
0x93E682107d1E9defB0b5ee701C71707a4B2E46Bc,[B1],MCAP,MCAP,_
0x9653cFd0865ad8313BEA2f0C2EC0584BFd05115B,[A10][A2],FuturXE,FXE,_
0x9720b467a710382A232a32F540bDCed7d662a10B,[B1],Vezt,VZT,_
0x9E77D5a1251b6F7D456722A6eaC6D2d5980bd891,[B1],BRAT RED,BRAT,_
0xAc3Da587eac229C9896D919aBC235CA4Fd7f72c1,[A2][A6][B1],Target Coin,TGT,_
