addr,category,name,symbol,info
0x0b76544F6C413a555F309Bf76260d1E02377c02A,owner-decrease-balance-by-mint-by-overflow,Internet Node Token,INT,_
0x0bb217E40F8a5Cb79Adf04E1aAb60E5abd0dfC1e,owner-decrease-balance-by-mint-by-overflow,SwftCoin,SWFTC,_
0x2A05d22DB079BC40C2f77a1d1fF703a56E631cc1,owner-decrease-balance-by-mint-by-overflow,BitAsean,BAS,_
0x5121E348e897dAEf1Eef23959Ab290e5557CF274,owner-decrease-balance-by-mint-by-overflow,PolyAi,AI,_
0x7703C35CfFdC5CDa8D27aa3df2F9ba6964544b6e,owner-decrease-balance-by-mint-by-overflow,Pylon Token,PYLNT,_
0x8A99ED8a1b204903Ee46e733f2c1286F6d20b177,owner-decrease-balance-by-mint-by-overflow,Fujinto,NTO,_
0xAc3Da587eac229C9896D919aBC235CA4Fd7f72c1,owner-decrease-balance-by-mint-by-overflow,Target Coin,TGT,_
