addr,category,name,symbol,exchanges,totalSupply,decimals,info
0x00430f32B8e77A456d0Ab7E6f1Dc1B84F4ae62E0,excess-mint-token-by-overflow,,,,,,_
0x200ceF00486dcF58E6Cd4Cb68F155f6A0a58E129,excess-mint-token-by-overflow,,,,,,_
0x2604FA406Be957E542BEb89E6754fCdE6815e83f,excess-mint-token-by-overflow,Playkey Token,PKT,@CoinExchange@HitBTC@Mercatox,19893267,18,_
0x26D08B9d227933A85e855656DC46aB889E183C88,excess-mint-token-by-overflow,,,,,,_
0x98734F75997DE18CcF9A495805b4E01B2F8B0cbB,excess-mint-token-by-overflow,,,,,,_
