addr,category,name,symbol,exchanges,totalSupply,decimals,info
0x12AC8d8F0F48b7954bcdA736AF0576a12Dc8C387,fake-burn,,,,,,_
0x745Fa4002332C020f6a05B3FE04BCCf060e36dD3,fake-burn,,,,,,_
