addr,category,name,symbol,exchanges,totalSupply,decimals,info
0x12F9cf26A436B67728480DF770416F9be5605d77,owner-overweight-token-by-overflow,,,,,,_
0x15aDB79e6AF601551A64060AeBBEdd39D929C5a7,owner-overweight-token-by-overflow,,,,,,_
0x2d856e799b8Ad85A3af7E9a4ED6bED685e797ef3,owner-overweight-token-by-overflow,,,,,,_
0x6Aac8CB9861E42bf8259F5AbDC6aE3Ae89909E11,owner-overweight-token-by-overflow,Bitcoin Red,BTCR,@Coinexchange@ForkDelta@YoBit,21000000,8,_
0x81680e3239E07A32f63E910a145DdDC4f1d25E1D,owner-overweight-token-by-overflow,,,,,,_
0xd079763792F984AEF8BddA31A68b405031dFb367,owner-overweight-token-by-overflow,,,,,,_
0xe57297258717eC66749fcFb4BF23869E252B03C3,owner-overweight-token-by-overflow,,,,,,_
